,path1,path2,lch,tree1,tree2,matriz,path_sim,LCh,wup,normalizada,levenstein,w1,w2
0,"{Synset('prophet.n.01'): 0, Synset('diviner.n.01'): 1, Synset('visionary.n.02'): 2, Synset('intellectual.n.01'): 3, Synset('person.n.01'): 4, Synset('causal_agent.n.01'): 5, Synset('organism.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('living_thing.n.01'): 6, Synset('entity.n.01'): 7, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('*ROOT*'): 9}","{Synset('sage.n.01'): 0, Synset('mentor.n.01'): 1, Synset('intellectual.n.01'): 2, Synset('person.n.01'): 3, Synset('causal_agent.n.01'): 4, Synset('organism.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('living_thing.n.01'): 5, Synset('entity.n.01'): 6, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('*ROOT*'): 8}",Synset('intellectual.n.01'),"[Synset('prophet.n.01'), Synset('diviner.n.01'), Synset('visionary.n.02'), Synset('intellectual.n.01')]","[Synset('sage.n.01'), Synset('mentor.n.01'), Synset('intellectual.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3}, 1: {0: 1, 1: 1, 2: 2, 3: 3}, 2: {0: 2, 1: 2, 2: 2, 3: 3}, 3: {0: 3, 1: 3, 2: 3, 3: 3}, 4: {0: 4, 1: 4, 2: 4, 3: 3}}",0.166666667,1.84582669,0.571428571,0.769230769,3,oracle,sage
1,"{Synset('bird.n.01'): 0, Synset('vertebrate.n.01'): 1, Synset('chordate.n.01'): 2, Synset('animal.n.01'): 3, Synset('organism.n.01'): 4, Synset('living_thing.n.01'): 5, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('physical_entity.n.01'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('crane.n.05'): 0, Synset('wading_bird.n.01'): 1, Synset('aquatic_bird.n.01'): 2, Synset('bird.n.01'): 3, Synset('vertebrate.n.01'): 4, Synset('chordate.n.01'): 5, Synset('animal.n.01'): 6, Synset('organism.n.01'): 7, Synset('living_thing.n.01'): 8, Synset('whole.n.02'): 9, Synset('object.n.01'): 10, Synset('physical_entity.n.01'): 11, Synset('entity.n.01'): 12, Synset('*ROOT*'): 13}",Synset('bird.n.01'),[Synset('bird.n.01')],"[Synset('crane.n.05'), Synset('wading_bird.n.01'), Synset('aquatic_bird.n.01'), Synset('bird.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 3}}",0.25,2.251291799,0.869565217,0.785714286,3,bird,crane
2,"{Synset('bird.n.01'): 0, Synset('vertebrate.n.01'): 1, Synset('chordate.n.01'): 2, Synset('animal.n.01'): 3, Synset('organism.n.01'): 4, Synset('living_thing.n.01'): 5, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('physical_entity.n.01'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('cock.n.04'): 0, Synset('chicken.n.02'): 1, Synset('domestic_fowl.n.01'): 2, Synset('gallinaceous_bird.n.01'): 3, Synset('bird.n.01'): 4, Synset('vertebrate.n.01'): 5, Synset('chordate.n.01'): 6, Synset('animal.n.01'): 7, Synset('organism.n.01'): 8, Synset('living_thing.n.01'): 9, Synset('whole.n.02'): 10, Synset('object.n.01'): 11, Synset('physical_entity.n.01'): 12, Synset('entity.n.01'): 13, Synset('*ROOT*'): 14}",Synset('bird.n.01'),[Synset('bird.n.01')],"[Synset('cock.n.04'), Synset('chicken.n.02'), Synset('domestic_fowl.n.01'), Synset('gallinaceous_bird.n.01'), Synset('bird.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 4}}",0.2,2.028148247,0.833333333,0.733333333,4,bird,cock
3,"{Synset('food.n.01'): 0, Synset('substance.n.07'): 1, Synset('matter.n.03'): 2, Synset('physical_entity.n.01'): 3, Synset('entity.n.01'): 4, Synset('*ROOT*'): 5}","{Synset('fruit.n.01'): 0, Synset('reproductive_structure.n.01'): 1, Synset('plant_organ.n.01'): 2, Synset('plant_part.n.01'): 3, Synset('natural_object.n.01'): 4, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('physical_entity.n.01'): 7, Synset('entity.n.01'): 8, Synset('*ROOT*'): 9}",Synset('physical_entity.n.01'),"[Synset('food.n.01'), Synset('substance.n.07'), Synset('matter.n.03'), Synset('physical_entity.n.01')]","[Synset('fruit.n.01'), Synset('reproductive_structure.n.01'), Synset('plant_organ.n.01'), Synset('plant_part.n.01'), Synset('natural_object.n.01'), Synset('whole.n.02'), Synset('object.n.01'), Synset('physical_entity.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 7}}",0.090909091,1.239690887,0.285714286,0.3,7,food,fruit
4,"{Synset('brother.n.05'): 0, Synset('monk.n.01'): 1, Synset('religious.n.01'): 2, Synset('religious_person.n.01'): 3, Synset('person.n.01'): 4, Synset('causal_agent.n.01'): 5, Synset('organism.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('living_thing.n.01'): 6, Synset('entity.n.01'): 7, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('*ROOT*'): 9}","{Synset('monk.n.01'): 0, Synset('religious.n.01'): 1, Synset('religious_person.n.01'): 2, Synset('person.n.01'): 3, Synset('causal_agent.n.01'): 4, Synset('organism.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('living_thing.n.01'): 5, Synset('entity.n.01'): 6, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('*ROOT*'): 8}",Synset('monk.n.01'),"[Synset('brother.n.05'), Synset('monk.n.01')]",[Synset('monk.n.01')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 1}, 2: {0: 2, 1: 1}}",0.5,2.944438979,0.952380952,0.923076923,1,brother,monk
5,"{Synset('mental_hospital.n.01'): 0, Synset('hospital.n.01'): 1, Synset('medical_building.n.01'): 2, Synset('building.n.01'): 3, Synset('structure.n.01'): 4, Synset('artifact.n.01'): 5, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('physical_entity.n.01'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('bedlam.n.02'): 0, Synset('mental_hospital.n.01'): 1, Synset('hospital.n.01'): 2, Synset('medical_building.n.01'): 3, Synset('building.n.01'): 4, Synset('structure.n.01'): 5, Synset('artifact.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}",Synset('mental_hospital.n.01'),[Synset('mental_hospital.n.01')],"[Synset('bedlam.n.02'), Synset('mental_hospital.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 1}}",0.5,2.944438979,0.952380952,0.916666667,1,asylum,madhouse
6,"{Synset('furnace.n.01'): 0, Synset('chamber.n.01'): 1, Synset('enclosure.n.01'): 2, Synset('area.n.05'): 3, Synset('structure.n.01'): 4, Synset('artifact.n.01'): 5, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('physical_entity.n.01'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('stove.n.01'): 0, Synset('kitchen_appliance.n.01'): 1, Synset('home_appliance.n.01'): 2, Synset('appliance.n.02'): 3, Synset('durables.n.01'): 4, Synset('consumer_goods.n.01'): 5, Synset('commodity.n.01'): 6, Synset('artifact.n.01'): 7, Synset('whole.n.02'): 8, Synset('object.n.01'): 9, Synset('physical_entity.n.01'): 10, Synset('entity.n.01'): 11, Synset('*ROOT*'): 12}",Synset('artifact.n.01'),"[Synset('furnace.n.01'), Synset('chamber.n.01'), Synset('enclosure.n.01'), Synset('area.n.05'), Synset('structure.n.01'), Synset('artifact.n.01')]","[Synset('stove.n.01'), Synset('kitchen_appliance.n.01'), Synset('home_appliance.n.01'), Synset('appliance.n.02'), Synset('durables.n.01'), Synset('consumer_goods.n.01'), Synset('commodity.n.01'), Synset('artifact.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6, 7: 7, 8: 8}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 7, 8: 7}}",0.076923077,1.072636802,0.454545455,0.461538462,7,furnace,stove
7,"{Synset('sorcerer.n.01'): 0, Synset('occultist.n.01'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('sorcerer.n.01'): 0, Synset('occultist.n.01'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}",Synset('sorcerer.n.01'),[Synset('sorcerer.n.01')],[Synset('sorcerer.n.01')],"{0: {0: 0, 1: 1}, 1: {0: 1, 1: 0}}",1,3.63758616,1,1,0,magician,wizard
8,"{Synset('hill.n.01'): 0, Synset('natural_elevation.n.01'): 1, Synset('geological_formation.n.01'): 2, Synset('object.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('knoll.n.01'): 0, Synset('hill.n.01'): 1, Synset('natural_elevation.n.01'): 2, Synset('geological_formation.n.01'): 3, Synset('object.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('hill.n.01'),[Synset('hill.n.01')],"[Synset('knoll.n.01'), Synset('hill.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 1}}",0.5,2.944438979,0.923076923,0.875,1,hill,mound
9,"{Synset('cord.n.01'): 0, Synset('line.n.18'): 1, Synset('artifact.n.01'): 2, Synset('whole.n.02'): 3, Synset('object.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('string.n.01'): 0, Synset('cord.n.01'): 1, Synset('line.n.18'): 2, Synset('artifact.n.01'): 3, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}",Synset('cord.n.01'),[Synset('cord.n.01')],"[Synset('string.n.01'), Synset('cord.n.01')]","{0: {0: 0, 1: 1, 2: 2}, 1: {0: 1, 1: 1, 2: 1}}",0.5,2.944438979,0.933333333,0.888888889,1,cord,string
